"Step","effortless-fog-273 - total_reward_actor_0","effortless-fog-273 - total_reward_actor_0__MIN","effortless-fog-273 - total_reward_actor_0__MAX"
"9372","210","210","210"
"9420","720","720","720"
"9452","220","220","220"
"9500","700","700","700"
"9516","200","200","200"
"9556","470","470","470"
"9580","380","380","380"
"9632","350","350","350"
"9662","210","210","210"
"9696","630","630","630"
"9716","300","300","300"
"9760","460","460","460"
"9792","330","330","330"
"9824","320","320","320"
"9856","610","610","610"
"9888","580","580","580"
"9920","480","480","480"
"9972","370","370","370"
"10004","340","340","340"
"10036","390","390","390"
"10068","250","250","250"
"10100","460","460","460"
"10132","530","530","530"
"10164","570","570","570"
"10196","320","320","320"
"10244","680","680","680"
"10278","340","340","340"
"10328","470","470","470"
"10344","210","210","210"
"10376","530","530","530"
"10424","540","540","540"
"10440","320","320","320"
"10472","440","440","440"
"10520","590","590","590"
"10536","270","270","270"
"10568","360","360","360"
"10618","350","350","350"
"10652","380","380","380"
"10700","450","450","450"
"10732","440","440","440"
"10764","420","420","420"
"10788","560","560","560"
"10828","670","670","670"
"10844","260","260","260"
"10892","410","410","410"
"10941","480","480","480"
"10975","570","570","570"
"11008","490","490","490"
"11040","210","210","210"
"11056","250","250","250"
"11104","500","500","500"
"11136","540","540","540"
"11152","320","320","320"
"11184","340","340","340"
"11216","390","390","390"
"11248","340","340","340"
"11298","360","360","360"
"11332","380","380","380"
"11364","400","400","400"
"11396","430","430","430"
"11428","430","430","430"
"11476","440","440","440"
"11500","490","490","490"
"11524","400","400","400"
"11556","550","550","550"
"11588","450","450","450"
"11638","390","390","390"
"11688","890","890","890"
"11704","480","480","480"
"11736","410","410","410"
"11763","210","210","210"
"11784","210","210","210"
"11816","390","390","390"
"11848","430","430","430"
"11864","260","260","260"
"11896","570","570","570"
"11928","420","420","420"
"11960","300","300","300"
"12012","530","530","530"
"12044","290","290","290"
"12076","260","260","260"
"12108","390","390","390"
"12140","540","540","540"
"12172","220","220","220"
"12204","500","500","500"
"12236","340","340","340"
"12268","660","660","660"
"12300","350","350","350"
"12332","390","390","390"
"12386","560","560","560"
"12420","380","380","380"
"12454","380","380","380"
"12471","210","210","210"
"12522","530","530","530"
"12539","320","320","320"
"12573","530","530","530"
"12607","620","620","620"
"12641","370","370","370"
"12675","320","320","320"
"12708","340","340","340"
"12740","300","300","300"
"12772","300","300","300"
"12790","480","480","480"
"12820","210","210","210"
"12859","300","300","300"
"12884","210","210","210"
"12916","200","200","200"
"12948","370","370","370"
"12972","360","360","360"
"13004","220","220","220"
"13028","230","230","230"
"13100","360","360","360"
"13134","300","300","300"
"13168","430","430","430"
"13193","510","510","510"
"13219","350","350","350"
"13251","270","270","270"
"13270","600","600","600"
"13304","560","560","560"
"13338","210","210","210"
"13372","460","460","460"
"13388","440","440","440"
"13420","390","390","390"
"13452","370","370","370"
